Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimoDividendo
RDPD11,Títulos e Val. Mob.,50.11,0.2473,0.1671,0.9,54020700,25271,0.0,0.0,0.0,0.0,0.0,0.61
RECR11,Títulos e Val. Mob.,93.78999999999999,0.139,0.1535,0.98,2479960000,5024790,0.0,0.0,0.0,0.0,0.0,0.8
RECT11,Híbrido,62.91,0.0857,0.0975999999999999,0.67,537471000,736946,9.0,6880.32,6.0566,0.088,0.1105,0.5
RECX11,Títulos e Val. Mob.,78.49,0.1205,0.1289,0.94,17135400,12025,0.0,0.0,0.0,0.0,0.0,0.8
REIT11,Títulos e Val. Mob.,479.86,-0.0052,0.6618,1.0,12616000,128,0.0,0.0,0.0,0.0,0.0,2.06
RELG11,Híbrido,86.0,0.1056,0.1135999999999999,0.72,114772000,216122,5.0,1629.53,1.6043,0.0984999999999999,0.0268,0.8
RFOF11,Títulos e Val. Mob.,75.02,0.0958,0.104,0.92,80883900,160416,0.0,0.0,0.0,0.0,0.0,0.7
RMAI11,Híbrido,42.47999999999999,-0.0274,0.0847,0.39,103813000,24327,2.0,2376.39,1.2254,0.0516,0.3825,0.26
RNDP11,Títulos e Val. Mob.,299.95,-0.0183,0.2609,0.78,32238900,11302,0.0,0.0,0.0,0.0,0.0,2.39
RNGO11,Lajes Corporativas,53.349999999999994,0.0844999999999999,0.0839,0.61,142765000,113439,4.0,2601.46,2.7205,0.1046,0.1595,0.43
ROOF11,Outros,830.0000000000001,-0.0774,0.0584,0.97,64320800,8056,113.0,80.15,0.0027,0.0033,0.0,47.31
RPRI11,Títulos e Val. Mob.,98.29,0.0149,0.0126,0.98,220342000,80211,0.0,0.0,0.0,0.0,0.0,1.25
RRCI11,Títulos e Val. Mob.,85.2,0.1226,0.1583999999999999,0.88,41045700,106461,0.0,0.0,0.0,0.0,0.0,1.2
RURA11,Títulos e Val. Mob.,10.33,0.032,0.0451,1.04,619795000,603051,0.0,0.0,0.0,0.0,0.0,0.12
RVBI11,Títulos e Val. Mob.,80.28,0.1088,0.111,0.93,115603000,258764,0.0,0.0,0.0,0.0,0.0,0.75
RZAG11,Títulos e Val. Mob.,10.38,0.0991,0.0619,1.09,314972000,1300710,0.0,0.0,0.0,0.0,0.0,0.14
