Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimaCotacao,ultimoDividendo
REIT11,Títulos e Val. Mob.,479.86,-0.52%,66.18%,1.00,12616000,128,0,0.00,0.00,0.00%,0.00%,479.86,2.06
RELG11,Híbrido,86.00,10.56%,11.36%,0.72,114772000,216122,5,1629.53,160.43,9.85%,2.68%,86,0.8
RFOF11,Títulos e Val. Mob.,75.02,9.58%,10.40%,0.92,80883900,160416,0,0.00,0.00,0.00%,0.00%,75.02,0.7
RMAI11,Híbrido,42.48,-2.74%,8.47%,0.39,103813000,24327,2,2376.39,122.54,5.16%,38.25%,42.48,0.26
RNDP11,Títulos e Val. Mob.,299.95,-1.83%,26.09%,0.78,32238900,11302,0,0.00,0.00,0.00%,0.00%,299.95,2.39
RNGO11,Lajes Corporativas,53.35,8.45%,8.39%,0.61,142765000,113439,4,2601.46,272.05,10.46%,15.95%,53.35,0.43
ROOF11,Outros,830.00,-7.74%,5.84%,0.97,64320800,8056,113,80.15,0.27,0.33%,0.00%,830,47.31
RPRI11,Títulos e Val. Mob.,98.29,1.49%,1.26%,0.98,220342000,80211,0,0.00,0.00,0.00%,0.00%,98.29,1.25
RRCI11,Títulos e Val. Mob.,85.20,12.26%,15.84%,0.88,41045700,106461,0,0.00,0.00,0.00%,0.00%,85.2,1.2
RURA11,Títulos e Val. Mob.,10.33,3.20%,4.51%,1.04,619795000,603051,0,0.00,0.00,0.00%,0.00%,10.33,0.12
RVBI11,Títulos e Val. Mob.,80.28,10.88%,11.10%,0.93,115603000,258764,0,0.00,0.00,0.00%,0.00%,80.28,0.75
RZAG11,Títulos e Val. Mob.,10.38,9.91%,6.19%,1.09,314972000,1300710,0,0.00,0.00,0.00%,0.00%,10.38,0.14
RZAK11,Títulos e Val. Mob.,100.00,9.30%,14.83%,1.06,340315000,1454050,0,0.00,0.00,0.00%,0.00%,100,1.5
RZTR11,Híbrido,103.65,11.66%,13.72%,1.05,1145130000,3017900,15,2.16,0.32,14.83%,0.00%,103.65,1.25
SADI11,Títulos e Val. Mob.,89.78,9.53%,11.08%,0.89,285519000,527676,0,0.00,0.00,0.00%,0.00%,89.78,1.08
SAIC11B,Lajes Corporativas,37.98,-1.87%,0.00%,0.69,54301500,79,1,4705.38,0.00,0.00%,100.00%,37.98,0.66
SARE11,Híbrido,76.90,10.06%,9.77%,0.78,710120000,1363130,3,2798.48,223.45,7.98%,0.00%,76.9,0.65
SCPF11,Shoppings,6.08,4.54%,4.01%,0.49,25536000,5586,1,5232.56,787.58,15.05%,27.07%,6.08,0.01
SDIL11,Logística,97.26,9.01%,9.25%,0.98,621983000,1012030,5,1719.94,205.20,11.93%,1.96%,97.26,0.76
SEED11,Híbrido,100.10,7.15%,5.97%,0.97,164164000,53214,0,0.00,0.00,0.00%,0.00%,100.1,1.24
SEQR11,Outros,66.30,11.00%,11.49%,0.69,106647000,249504,4,2439.30,336.73,13.80%,0.00%,66.3,0.67
SHPH11,Shoppings,819.45,5.22%,5.44%,0.92,499004000,103909,1,14525.20,940.47,6.47%,10.47%,819.45,4.25
SNCI11,Títulos e Val. Mob.,100.44,5.06%,13.32%,1.03,371357000,1778290,0,0.00,0.00,0.00%,0.00%,100.44,1.25
SNFF11,Títulos e Val. Mob.,88.94,7.22%,9.48%,0.99,222350000,516443,0,0.00,0.00,0.00%,0.00%,88.94,0.65
SOLR11,Híbrido,1128.06,11.20%,8.57%,1.12,70935800,48,1,8757.13,1141.51,13.04%,0.00%,1128.06,7.95
SPTW11,Lajes Corporativas,43.50,18.64%,15.74%,0.82,78213000,170140,1,5478.37,1148.86,20.97%,0.00%,43.5,0.4
SRVD11,Títulos e Val. Mob.,7.22,7.80%,4.05%,9.69,695185000,124,0,0.00,0.00,0.00%,0.00%,7.22,0.2
TEPP11,Lajes Corporativas,83.15,7.03%,6.99%,0.92,351057000,793532,5,10887.70,814.37,7.48%,8.35%,83.15,0.49
TGAR11,Híbrido,129.75,5.07%,13.19%,1.06,1467420000,3692780,5,81.29,1.09,1.34%,0.00%,129.75,1.59
TORD11,Híbrido,8.10,6.07%,14.50%,0.57,283916000,813788,0,0.00,0.00,0.00%,0.00%,8.1,0.08
TRNT11,Lajes Corporativas,112.00,4.37%,4.16%,0.55,440783000,13820,1,6983.56,556.89,7.97%,50.37%,112,0.28
TRXB11,Híbrido,118.00,7.66%,9.45%,1.02,322200000,1344620,12,3390.23,430.36,12.69%,0.00%,118,0.95
TRXF11,Híbrido,110.75,7.94%,8.94%,1.07,802362000,3020630,27,2691.59,265.18,9.85%,0.00%,110.75,0.85
TSER11,Lajes Corporativas,105.00,10.40%,10.15%,1.13,126525000,321649,1,2833.34,164.56,5.81%,0.00%,105,0.86
URPR11,Outros,102.95,4.32%,19.27%,1.03,1014910000,4564340,0,0.00,0.00,0.00%,0.00%,102.95,1.62
