<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	10:04:00	5335.500	5336.500	5329.000	5333.000	8481	21849	500
2022.11.16	10:05:00	5333.500	5333.500	5327.000	5329.000	5782	14320	500
2022.11.16	10:06:00	5328.500	5336.500	5327.500	5332.000	5853	14253	500
2022.11.16	10:07:00	5332.000	5342.500	5331.000	5338.500	7695	20131	500
2022.11.16	10:08:00	5339.000	5341.000	5336.000	5337.500	2466	7145	500
2022.11.16	10:09:00	5337.500	5338.000	5331.500	5334.000	4180	10934	500
2022.11.16	10:10:00	5334.500	5341.000	5334.000	5337.500	3328	8154	500
2022.11.16	10:11:00	5338.000	5345.500	5337.500	5342.000	4217	10380	500
2022.11.16	10:12:00	5341.500	5347.500	5339.000	5345.000	5278	15089	500
2022.11.16	10:13:00	5345.000	5347.000	5342.000	5344.000	2576	6615	500
2022.11.16	10:14:00	5343.500	5344.000	5341.000	5341.500	1747	4487	500
2022.11.16	10:15:00	5341.500	5345.500	5341.000	5345.500	1781	4209	500
2022.11.16	10:16:00	5345.500	5349.000	5345.000	5348.000	3719	9094	500
2022.11.16	10:17:00	5348.000	5349.500	5339.500	5340.500	5042	13114	500
2022.11.16	10:18:00	5340.000	5348.000	5339.000	5345.500	3379	8180	500
2022.11.16	10:19:00	5345.000	5348.500	5344.000	5344.500	2251	6132	500
2022.11.16	10:20:00	5344.500	5346.000	5340.000	5341.500	3072	7683	500
2022.11.16	10:21:00	5341.500	5342.000	5334.000	5337.500	6831	19372	500
2022.11.16	10:22:00	5337.500	5338.500	5335.500	5336.500	2408	6895	500
2022.11.16	10:23:00	5336.500	5343.500	5336.000	5341.500	3332	10481	500
2022.11.16	10:24:00	5341.500	5344.000	5339.500	5343.500	1959	6498	500
2022.11.16	10:25:00	5344.000	5344.000	5340.500	5342.000	1452	5162	500
2022.11.16	10:26:00	5342.500	5342.500	5335.500	5338.000	2675	7335	500
2022.11.16	10:27:00	5338.000	5346.000	5335.000	5345.500	3385	8558	500
2022.11.16	10:28:00	5346.000	5351.000	5343.000	5348.500	4599	11898	500
2022.11.16	10:29:00	5348.500	5356.500	5345.000	5348.500	5795	16483	500
2022.11.16	10:30:00	5348.500	5365.500	5347.500	5355.500	11222	32696	500
2022.11.16	10:31:00	5355.500	5359.500	5353.000	5356.500	3856	12335	500
2022.11.16	10:32:00	5356.000	5356.000	5339.500	5343.000	9980	23976	500
2022.11.16	10:33:00	5343.000	5346.500	5337.500	5344.500	5599	14274	500
2022.11.16	10:34:00	5344.500	5354.500	5344.000	5351.500	6664	17619	500
2022.11.16	10:35:00	5352.000	5353.000	5346.000	5349.000	3486	9908	500
2022.11.16	10:36:00	5349.000	5349.000	5340.500	5346.000	4568	11346	500
2022.11.16	10:37:00	5346.000	5350.500	5342.500	5348.000	3791	9181	500
2022.11.16	10:38:00	5348.000	5348.500	5341.500	5343.500	2883	8245	500
2022.11.16	10:39:00	5343.500	5346.000	5338.500	5338.500	3249	8675	500
2022.11.16	10:40:00	5338.500	5338.500	5330.500	5332.000	7832	20179	500
2022.11.16	10:41:00	5332.000	5335.500	5331.000	5335.000	3478	9978	500
2022.11.16	10:42:00	5334.500	5340.500	5333.500	5337.000	4895	14457	500
2022.11.16	10:43:00	5337.000	5337.000	5330.500	5334.000	4109	10836	500
2022.11.16	10:44:00	5333.500	5334.500	5329.000	5330.000	3197	7078	500
2022.11.16	10:45:00	5330.500	5333.500	5326.000	5327.500	6650	15614	500
2022.11.16	10:46:00	5327.500	5329.500	5322.000	5322.500	6139	14226	500
2022.11.16	10:47:00	5322.500	5324.500	5320.500	5323.000	5144	13919	500
2022.11.16	10:48:00	5323.000	5338.000	5322.000	5336.000	8940	20126	500
2022.11.16	10:49:00	5336.500	5338.500	5330.500	5337.500	5448	14356	500
2022.11.16	10:50:00	5337.500	5339.500	5334.000	5339.000	3717	10487	500
2022.11.16	10:51:00	5339.000	5345.000	5338.500	5343.000	6367	16672	500
2022.11.16	10:52:00	5343.000	5343.000	5336.500	5339.500	3560	9489	500
2022.11.16	10:53:00	5339.500	5341.500	5337.500	5340.500	2004	6034	500
2022.11.16	10:54:00	5340.000	5344.000	5339.000	5342.000	3210	9512	500
2022.11.16	10:55:00	5341.500	5342.000	5329.000	5333.500	8054	24502	500
2022.11.16	10:56:00	5333.500	5336.000	5327.500	5329.500	4520	13924	500
2022.11.16	10:57:00	5330.000	5335.500	5329.500	5334.000	2888	7491	500
2022.11.16	10:58:00	5334.000	5338.000	5330.000	5331.000	4159	12548	500
2022.11.16	10:59:00	5330.500	5332.500	5324.000	5327.000	5636	14788	500
2022.11.16	11:00:00	5327.000	5328.000	5315.500	5319.000	9612	26888	500
2022.11.16	11:01:00	5319.000	5323.000	5318.500	5320.500	3874	13472	500
2022.11.16	11:02:00	5320.500	5324.000	5319.000	5320.500	2788	8222	500
2022.11.16	11:03:00	5321.000	5322.500	5312.000	5314.000	6411	19330	500
2022.11.16	11:04:00	5314.000	5317.500	5312.000	5314.000	4365	13138	500
2022.11.16	11:05:00	5314.000	5316.000	5312.000	5313.500	3457	11917	500
2022.11.16	11:06:00	5313.500	5321.000	5312.000	5320.500	5278	14545	500
2022.11.16	11:07:00	5321.000	5327.500	5319.000	5327.000	6405	19861	500
