<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	10:46:00	112638	112725	112638	112725	35925	289222900	0
2022.11.16	10:47:00	112654	112654	112633	112633	21660	199309040	0
2022.11.16	10:48:00	112578	112578	112539	112539	23687	187812310	0
2022.11.16	10:49:00	112314	112314	112302	112302	46578	446654300	0
2022.11.16	10:50:00	112222	112284	112222	112284	37492	373189000	0
2022.11.16	10:51:00	112207	112276	112207	112276	50945	446416200	0
2022.11.16	10:52:00	112140	112246	112140	112246	33636	351843500	0
2022.11.16	10:53:00	112273	112273	112220	112220	27623	245399600	0
2022.11.16	10:54:00	112133	112133	112073	112073	29640	276553000	0
2022.11.16	10:55:00	111900	111974	111900	111974	46242	482670700	0
2022.11.16	10:56:00	111911	111991	111911	111991	34061	357621500	0
2022.11.16	10:57:00	112115	112160	112115	112160	35255	379654800	0
2022.11.16	10:58:00	112105	112105	112102	112102	33960	312051200	0
2022.11.16	10:59:00	112007	112045	112007	112045	31494	319591700	0
2022.11.16	11:00:00	112011	112106	112011	112106	31937	301469500	0
2022.11.16	11:01:00	112112	112112	112105	112105	35202	350708800	0
2022.11.16	11:02:00	111994	111994	111927	111927	30935	277958300	0
2022.11.16	11:03:00	111954	111972	111954	111972	22950	184935060	0
2022.11.16	11:04:00	112101	112101	112073	112073	31594	276150100	0
2022.11.16	11:05:00	111967	111998	111967	111998	27178	251168300	0
2022.11.16	11:06:00	111978	111978	111967	111967	20549	190142700	0
2022.11.16	11:07:00	111772	111808	111772	111808	54192	564536500	0
2022.11.16	11:08:00	111641	111702	111641	111702	43104	602328000	0
2022.11.16	11:09:00	111650	111745	111650	111745	34361	321125700	0
2022.11.16	11:10:00	111763	111763	111758	111758	32332	282617100	0
2022.11.16	11:11:00	111665	111665	111619	111619	29748	270849100	0
2022.11.16	11:12:00	111667	111688	111667	111688	34871	300614400	0
2022.11.16	11:13:00	111709	111716	111709	111716	23045	213501790	0
2022.11.16	11:14:00	111773	111773	111760	111760	28583	323689330	0
2022.11.16	11:15:00	111794	111794	111759	111759	41094	372867300	0
2022.11.16	11:16:00	111694	111694	111622	111622	33767	395546900	0
2022.11.16	11:17:00	111605	111622	111605	111622	30833	218387840	0
2022.11.16	11:18:00	111564	111564	111544	111544	26592	193453650	0
2022.11.16	11:19:00	111561	111678	111561	111678	38674	653607900	0
2022.11.16	11:20:00	111716	111864	111716	111864	36503	290327860	0
2022.11.16	11:21:00	111902	111902	111811	111811	31919	270930900	0
2022.11.16	11:22:00	111813	111813	111799	111799	24384	189309120	0
2022.11.16	11:23:00	111790	111821	111790	111821	33617	257909500	0
2022.11.16	11:24:00	111783	111800	111783	111800	24275	180848360	0
2022.11.16	11:25:00	111842	111842	111778	111778	24288	206682950	0
2022.11.16	11:26:00	111654	111654	111649	111649	31948	244273990	0
2022.11.16	11:27:00	111701	111701	111662	111662	31180	265207700	0
2022.11.16	11:28:00	111632	111632	111581	111581	42209	343391200	0
2022.11.16	11:29:00	111641	111641	111488	111488	38499	322187700	0
2022.11.16	11:30:00	111565	111767	111565	111767	59135	652301700	0
2022.11.16	11:31:00	111850	111850	111827	111827	51550	520715200	0
2022.11.16	11:32:00	111877	111877	111828	111828	62435	591369500	0
2022.11.16	11:33:00	112011	112011	111991	111991	51237	430758400	0
2022.11.16	11:34:00	112021	112058	112021	112058	44562	351764200	0
2022.11.16	11:35:00	112144	112144	111997	111997	43637	383941400	0
2022.11.16	11:36:00	112020	112020	111850	111850	37241	331504500	0
2022.11.16	11:37:00	111746	111834	111746	111834	41490	364315400	0
2022.11.16	11:38:00	111855	111855	111821	111821	33676	367542600	0
2022.11.16	11:39:00	111737	111737	111707	111707	45899	387226900	0
2022.11.16	11:40:00	111695	111742	111695	111742	33047	296679900	0
2022.11.16	11:41:00	111746	111746	111695	111695	25752	213548380	0
2022.11.16	11:42:00	111695	111695	111639	111639	40959	348279200	0
2022.11.16	11:43:00	111579	111580	111579	111580	43162	574277900	0
2022.11.16	11:44:00	111677	111677	111662	111662	35298	293711700	0
2022.11.16	11:45:00	111636	111761	111636	111761	30705	269623600	0
2022.11.16	11:46:00	111839	111839	111835	111835	32052	259734300	0
2022.11.16	11:47:00	111842	111883	111842	111883	38264	331540600	0
2022.11.16	11:48:00	111764	111820	111764	111820	31463	234357200	0
2022.11.16	11:49:00	111795	111807	111795	111807	22182	150085520	0
2022.11.16	11:50:00	111706	111741	111706	111741	30915	214841200	0
2022.11.16	11:51:00	111667	111667	111572	111572	37269	405968600	0
2022.11.16	11:52:00	111393	111393	111284	111284	75990	733124400	0
2022.11.16	11:53:00	111396	111504	111396	111504	35081	343142100	0
2022.11.16	11:54:00	111409	111409	111341	111341	39060	344127000	0
2022.11.16	11:55:00	111437	111489	111437	111489	40073	423851900	0
2022.11.16	11:56:00	111590	111590	111479	111479	38039	333062300	0
2022.11.16	11:57:00	111407	111407	111406	111406	32562	291857800	0
2022.11.16	11:58:00	111555	111555	111531	111531	38735	439286500	0
2022.11.16	11:59:00	111527	111527	111524	111524	21743	146422540	0
2022.11.16	12:00:00	111462	111462	111454	111454	29598	289632400	0
2022.11.16	12:01:00	111544	111544	111530	111530	30408	249962570	0
2022.11.16	12:02:00	111511	111511	111286	111286	47766	392172320	0
2022.11.16	12:03:00	111361	111435	111361	111435	40734	304915300	0
2022.11.16	12:04:00	111494	111494	111441	111441	26261	206967730	0
2022.11.16	12:05:00	111430	111436	111430	111436	24509	166508710	0
2022.11.16	12:06:00	111401	111431	111401	111431	29442	228356410	0
2022.11.16	12:07:00	111367	111367	111262	111262	49894	437794600	0
2022.11.16	12:08:00	111232	111232	111163	111163	40248	332362000	0
2022.11.16	12:09:00	111096	111177	111096	111177	39125	369712800	0
2022.11.16	12:10:00	111162	111287	111162	111287	30330	274488500	0
2022.11.16	12:11:00	111253	111253	111207	111207	27570	222632200	0
2022.11.16	12:12:00	111247	111304	111247	111304	31956	255142700	0
2022.11.16	12:13:00	111264	111365	111264	111365	39750	371895000	0
2022.11.16	12:14:00	111266	111266	111198	111198	33059	266565400	0
2022.11.16	12:15:00	111142	111197	111142	111197	34482	301267400	0
2022.11.16	12:16:00	111180	111180	111124	111124	29712	222838120	0
2022.11.16	12:17:00	111234	111234	111228	111228	36096	260396380	0
2022.11.16	12:18:00	111185	111227	111185	111227	23760	149928950	0
2022.11.16	12:19:00	111160	111160	111068	111068	34151	337571200	0
2022.11.16	12:20:00	111015	111140	111015	111140	40842	347615000	0
2022.11.16	12:21:00	111102	111138	111102	111138	28134	211464980	0
2022.11.16	12:22:00	111153	111153	111135	111135	23628	323535500	0
2022.11.16	12:23:00	111048	111115	111048	111115	28943	279315400	0
2022.11.16	12:24:00	111122	111140	111122	111140	26148	216944800	0
2022.11.16	12:25:00	111141	111187	111141	111187	26454	196832640	0
2022.11.16	12:26:00	111210	111210	111153	111153	27407	274412860	0
2022.11.16	12:27:00	111143	111143	111076	111076	27071	246577500	0
2022.11.16	12:28:00	111094	111154	111094	111154	32286	894932100	0
2022.11.16	12:29:00	111142	111142	111126	111126	30216	214953900	0
2022.11.16	12:30:00	111179	111197	111179	111197	26291	169511050	0
2022.11.16	12:31:00	111206	111206	111193	111193	23080	127600300	0
2022.11.16	12:32:00	111216	111244	111216	111244	35602	278429700	0
2022.11.16	12:33:00	111283	111283	111246	111246	26886	188683730	0
2022.11.16	12:34:00	111190	111190	111119	111119	32376	236361400	0
2022.11.16	12:35:00	111069	111070	111069	111070	31817	228658800	0
2022.11.16	12:36:00	110971	111004	110971	111004	47238	401912000	0
2022.11.16	12:37:00	111008	111075	111008	111075	30191	227795880	0
2022.11.16	12:38:00	111078	111165	111078	111165	30005	238059100	0
2022.11.16	12:39:00	111129	111129	111063	111063	26098	168397170	0
2022.11.16	12:40:00	111074	111081	111074	111081	21480	126267030	0
