<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	16:40:00	110070	110073	110070	110073	42340	649648800	0
2022.11.16	16:41:00	110076	110109	110076	110109	46437	299135400	0
2022.11.16	16:42:00	110126	110126	110117	110117	42224	369720300	0
2022.11.16	16:43:00	110075	110141	110075	110141	48174	408045400	0
2022.11.16	16:44:00	110112	110128	110112	110128	40637	254699600	0
2022.11.16	16:45:00	110146	110162	110146	110162	45521	347959100	0
2022.11.16	16:46:00	110217	110217	110136	110136	55967	597752300	0
2022.11.16	16:47:00	110089	110102	110089	110102	41124	278111500	0
2022.11.16	16:48:00	110108	110127	110108	110127	35322	224339100	0
2022.11.16	16:49:00	110108	110108	110087	110087	39940	250250700	0
2022.11.16	16:50:00	110055	110055	109846	109846	67387	509010200	0
2022.11.16	16:51:00	109949	110009	109949	110009	48238	360183900	0
2022.11.16	16:52:00	110121	110182	110121	110182	48353	379260900	0
2022.11.16	16:53:00	110195	110195	110124	110124	44555	322964500	0
2022.11.16	16:54:00	110148	110148	110129	110129	34157	192361790	0
2022.11.16	16:55:00	110110	110141	110110	110141	39047	254087100	0
2022.11.16	16:56:00	110160	110160	110104	110104	44469	529319100	0
2022.11.16	16:57:00	110139	110139	110130	110130	38282	258069600	0
2022.11.16	16:58:00	110130	110156	110130	110156	46781	359579700	0
2022.11.16	16:59:00	110139	110151	110139	110151	39586	289067820	0
2022.11.16	17:00:00	110188	110212	110188	110212	45198	272178300	0
2022.11.16	17:01:00	110205	110227	110205	110227	46613	322807600	0
2022.11.16	17:02:00	110238	110238	110233	110233	38992	208642240	0
2022.11.16	17:03:00	110242	110242	110229	110229	61948	340563100	0
2022.11.16	17:04:00	110297	110297	110296	110296	41310	229622100	0
2022.11.16	17:05:00	110224	110312	110224	110312	52103	340492600	0
2022.11.16	17:06:00	110310	110310	110265	110265	51015	528144200	0
2022.11.16	17:07:00	110205	110233	110205	110233	50218	312425400	0
2022.11.16	17:08:00	110182	110182	110102	110102	52624	345569700	0
2022.11.16	17:09:00	110069	110069	110049	110049	50454	366776200	0
2022.11.16	17:10:00	110076	110076	110015	110015	47945	365176700	0
2022.11.16	17:11:00	110029	110048	110029	110048	43625	268692130	0
2022.11.16	17:12:00	110063	110063	109959	109959	50862	575514500	0
2022.11.16	17:13:00	109946	109946	109911	109911	60828	450783400	0
2022.11.16	17:14:00	109913	109913	109859	109859	54172	1249889500	0
2022.11.16	17:15:00	109897	109947	109897	109947	39821	490867900	0
2022.11.16	17:16:00	109950	109971	109950	109971	45120	325891500	0
2022.11.16	17:17:00	109866	109880	109866	109880	48526	301827300	0
2022.11.16	17:18:00	109878	109900	109878	109900	43907	309053800	0
2022.11.16	17:19:00	109911	109923	109911	109923	35819	237952500	0
2022.11.16	17:20:00	109871	109872	109871	109872	46660	302234200	0
2022.11.16	17:21:00	109860	109864	109860	109864	40371	322107400	0
2022.11.16	17:22:00	109878	109880	109878	109880	35088	262558000	0
2022.11.16	17:23:00	109899	109899	109871	109871	57750	505028700	0
2022.11.16	17:24:00	109822	109822	109754	109754	51092	492863500	0
2022.11.16	17:25:00	109789	109796	109789	109796	57539	1486572300	0
2022.11.16	17:26:00	109712	109778	109712	109778	53655	434766000	0
2022.11.16	17:27:00	109773	109773	109768	109768	44111	505264000	0
2022.11.16	17:28:00	109767	109792	109767	109792	41399	338112200	0
2022.11.16	17:29:00	109771	109772	109771	109772	45370	368935100	0
2022.11.16	17:30:00	109763	109838	109763	109838	44382	307321000	0
2022.11.16	17:31:00	109798	109806	109798	109806	42106	286376200	0
2022.11.16	17:32:00	109767	109773	109767	109773	35611	243888600	0
2022.11.16	17:33:00	109825	109870	109825	109870	47550	350991600	0
2022.11.16	17:34:00	109889	109889	109835	109835	47928	407203200	0
2022.11.16	17:35:00	109893	109893	109869	109869	44675	330645200	0
2022.11.16	17:36:00	109878	109878	109871	109871	51845	445151100	0
2022.11.16	17:37:00	109958	109958	109919	109919	53133	551029500	0
2022.11.16	17:38:00	109933	109944	109933	109944	37760	332035800	0
2022.11.16	17:39:00	109945	109980	109945	109980	43537	312094000	0
2022.11.16	17:40:00	110013	110073	110013	110073	57188	440308300	0
2022.11.16	17:41:00	110106	110148	110106	110148	57748	418320400	0
2022.11.16	17:42:00	110251	110251	110209	110209	70451	650608900	0
2022.11.16	17:43:00	110191	110208	110191	110208	41501	449763000	0
2022.11.16	17:44:00	110203	110219	110203	110219	47016	305414900	0
2022.11.16	17:45:00	110162	110162	110156	110156	61451	549008500	0
2022.11.16	17:46:00	110148	110171	110148	110171	55581	396192800	0
2022.11.16	17:47:00	110161	110167	110161	110167	84019	465858700	0
2022.11.16	17:48:00	110147	110187	110147	110187	66871	621864900	0
2022.11.16	17:49:00	110076	110101	110076	110101	118529	637021700	0
2022.11.16	17:50:00	110078	110080	110078	110080	97569	489082700	0
2022.11.16	17:51:00	110090	110102	110090	110102	56740	355395600	0
2022.11.16	17:52:00	110073	110083	110073	110083	65895	431187800	0
2022.11.16	17:53:00	110144	110147	110144	110147	65769	551737100	0
2022.11.16	17:54:00	110142	110142	110135	110135	49565	531890000	0
2022.11.16	17:55:00	110146	110252	110146	110243	109776	14125126402	0
